name,gender,age,likeable,creative,emotionally balanced,extrovert,no-coherence,narcissus,temperamental,reliable,fitness_trust,other_trust,follow,reasons,category
big_ramy,Άντρας,27,2,2,2,3,2,5,3,3,3,1,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,body_building
martynfordofficial,Άντρας,27,3,3,4,2,2,2,2,4,3,2,Όχι,έχει ωραίο lifestyle,body_building
stevecook,Άντρας,27,3,2,3,4,2,5,2,3,3,2,Όχι,έχει ωραίο lifestyle,body_building
dance,Γυναίκα,24,5,5,5,4,1,1,1,5,5,2,Ναι,αναρτά ενδιαφέρον περιεχόμενο,dance
yarishna,Άντρας,27,2,2,2,2,4,5,3,4,1,1,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,body_building
demibagby,Άντρας,27,5,5,5,2,4,3,1,5,5,3,Ναι,έχει ωραίο lifestyle,body_building
c.t.ali.fletcher,Άντρας,27,4,2,4,3,3,4,5,4,4,1,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,body_building
itscaitlinturner,Γυναίκα,28,4,5,4,2,1,3,2,4,4,3,Όχι,αναρτά ενδιαφέρον περιεχόμενο,yoga
thebodycoach,Γυναίκα,24,4,3,5,3,2,1,1,5,5,1,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,nutrition
casssmartin,Άντρας,27,4,2,4,3,4,4,2,4,4,2,Ναι,έχει ωραίο σώμα,fitness_model
dylanwerneryoga,Γυναίκα,28,3,5,2,1,1,2,3,4,4,1,Όχι,αναρτά ενδιαφέρον περιεχόμενο,yoga
hannaoeberg,Άντρας,27,4,2,4,4,2,3,2,4,4,2,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,fitness_model
pilates949,Γυναίκα,28,4,4,4,3,2,3,2,4,3,3,Ναι,αναρτά ενδιαφέρον περιεχόμενο,pilates
frank_medrano,Άντρας,27,5,4,4,2,4,2,2,5,5,2,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,body_building
flexatronrhoden,Άντρας,27,2,2,3,3,4,5,3,5,3,1,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,body_building
flex_lewis,Άντρας,27,3,3,3,5,4,4,2,4,3,1,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,body_building
mrolympia08,Άντρας,27,4,2,4,4,4,4,3,5,4,2,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,body_building
brandon__curry,Άντρας,27,3,2,4,4,2,4,2,4,3,1,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,body_building
kaisafit,Άντρας,27,2,2,3,5,5,3,2,3,2,1,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,body_building
juditmoreno22,Άντρας,27,2,2,3,5,5,5,2,2,2,1,Όχι,έχει ωραίο σώμα,fitness_model
sommerray,Άντρας,32,5,5,3,5,5,5,3,4,3,3,Ναι,έχει ωραίο σώμα;Με ανεβάζει,fitness_model
sophiebrace_fit,Άντρας,27,5,4,5,3,1,3,1,4,5,3,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του;έχει ωραίο σώμα;έχει ωραίο lifestyle;αναρτά ενδιαφέρον περιεχόμενο,fitness_model
ashleygalvinyoga,Γυναίκα,28,4,3,4,2,2,3,2,3,3,1,Όχι,αναρτά ενδιαφέρον περιεχόμενο,yoga
colleensaidman,Γυναίκα,28,3,1,2,4,5,2,3,2,2,1,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,yoga
fluidformpilates,Γυναίκα,28,5,4,4,3,3,2,2,5,5,3,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,pilates
dade2shelby,Γυναίκα,28,2,1,2,3,1,3,4,2,2,1,Όχι,αναρτά ενδιαφέρον περιεχόμενο,yoga
andreitalevin,Γυναίκα,28,3,5,3,1,1,3,2,4,3,2,Όχι,αναρτά ενδιαφέρον περιεχόμενο,yoga
movewithnicole,Γυναίκα,28,2,1,2,4,3,5,4,3,3,1,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,yoga
junglejohanna,Γυναίκα,28,3,4,2,5,2,5,4,1,1,1,Όχι,έχει ωραίο σώμα;έχει ωραίο lifestyle;αναρτά ενδιαφέρον περιεχόμενο,yoga
pmacfitness,Γυναίκα,24,4,3,4,2,3,1,1,4,4,4,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του;αναρτά ενδιαφέρον περιεχόμενο;έχει ωραια vibes,nutrition
lucymountain,Γυναίκα,24,5,5,4,2,5,1,1,5,5,3,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του;αναρτά ενδιαφέρον περιεχόμενο,nutrition
bdccarpenter,Γυναίκα,24,3,3,3,4,2,3,2,4,3,2,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,nutrition
zocobodypro,Γυναίκα,24,2,3,3,2,3,4,2,3,3,1,Όχι,έχει ωραίο σώμα,body_building
lyzabethlopez,Γυναίκα,24,4,3,3,5,3,4,2,3,2,2,Όχι,έχει ωραίο lifestyle,body_building
yanitayancheva,Γυναίκα,24,3,4,3,5,3,5,2,3,4,3,Όχι,έχει ωραίο σώμα;έχει ωραίο lifestyle,body_building
dustinpoirier,Γυναίκα,24,3,3,2,5,2,2,4,4,3,2,Όχι,έχει ωραίο lifestyle,athlete
roellywinklaar,Γυναίκα,24,3,3,2,4,4,4,4,3,3,2,Όχι,αναρτά ενδιαφέρον περιεχόμενο;πραγματικα δεν θα το εκανα για κανεναν λογο (ελενη),body_building
johannesbartl,Γυναίκα,24,5,4,4,4,2,1,2,4,4,3,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του;έχει ωραίο lifestyle;αναρτά ενδιαφέρον περιεχόμενο;εχει τελειο σκυλο!,body_building
laurensimpson,Γυναίκα,24,4,3,3,2,1,4,2,4,4,4,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του;έχει ωραίο σώμα;αναρτά ενδιαφέρον περιεχόμενο,body_building
fitmencook,Γυναίκα,24,4,5,4,3,2,2,1,4,3,2,Όχι,έχει ωραίο lifestyle,nutrition
ellena_fit,Γυναίκα,24,4,3,5,4,2,3,1,5,4,1,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,nutrition
michelle_lewin,Γυναίκα,24,3,3,4,4,3,3,2,3,3,3,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του;έχει ωραίο σώμα,body_building
pmacfitness,Γυναίκα,24,4,4,5,2,1,1,1,5,5,1,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,nutrition
emilyskyefit,Γυναίκα,24,4,4,4,5,3,2,2,4,3,3,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του;αναρτά ενδιαφέρον περιεχόμενο,body_building
lisahubbardpilates,Γυναίκα,28,3,2,3,2,1,3,3,4,3,1,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,pilates
sylviaroberts_pilates,Γυναίκα,28,4,4,4,2,1,2,2,4,5,2,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,pilates
blogilates,Γυναίκα,28,5,4,4,2,1,2,2,5,5,2,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του;αναρτά ενδιαφέρον περιεχόμενο,pilates
anacheri,Άντρας,23,4,3,2,4,4,4,2,3,2,4,Ναι,έχει ωραίο σώμα,fitness_model
kayla_itsines,Άντρας,16,4,4,5,5,1,1,4,3,4,3,Ναι,αναρτά ενδιαφέρον περιεχόμενο,body_building
bdccarpenter,Άντρας,16,5,5,4,3,4,1,3,5,5,3,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,nutrition
zocobodypro,Άντρας,16,4,5,4,2,5,1,4,5,5,4,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,body_building
alexandrashappybody,Άντρας,16,5,5,5,1,5,1,4,5,5,3,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,nutrition
soheefit,Άντρας,16,5,4,5,5,4,1,4,4,5,3,Ναι,έχει ωραίο σώμα,nutrition
jimmy_lewin,Άντρας,16,5,4,4,5,4,1,5,3,3,2,Ναι,Έχει δυνατά βιώματα.,body_building
kayla_itsines,Άντρας,15,5,5,4,5,5,3,4,4,5,2,Ναι,αναρτά ενδιαφέρον περιεχόμενο,body_building
laurendrainfit,Άντρας,16,4,4,3,4,2,3,4,2,3,2,Ναι,έχει ωραίο σώμα,body_building
tavicastro,Άντρας,16,3,3,3,4,3,5,3,2,3,1,Όχι,έχει ωραίο σώμα,body_building
bdccarpenter,Άντρας,15,4,5,5,4,1,2,4,5,5,2,Ναι,αναρτά ενδιαφέρον περιεχόμενο,nutrition
alexajeanfitness,Άντρας,16,5,5,4,5,3,1,4,4,4,3,Ναι,έχει ωραίο lifestyle,pilates
missmiafit,Άντρας,16,3,3,2,3,4,4,2,3,2,1,Ναι,έχει ωραίο σώμα,body_building
zocobodypro,Άντρας,15,5,4,5,5,2,2,4,4,4,3,Ναι,αναρτά ενδιαφέρον περιεχόμενο,body_building
joeyswoll,Άντρας,16,2,3,1,3,3,4,2,2,2,1,Όχι,έχει ωραίο σώμα,body_building
lindseyvonn,Άντρας,16,3,2,4,2,3,3,2,2,3,2,Όχι,έχει ωραίο lifestyle,athlete
alexandrashappybody,Άντρας,15,4,4,4,3,3,1,3,4,3,2,Ναι,έχει ωραίο σώμα,nutrition
lucymountain,Άντρας,16,4,5,4,2,1,1,4,5,5,4,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,nutrition
soheefit,Άντρας,15,4,4,5,5,2,2,4,5,3,4,Ναι,έχει ωραίο lifestyle,nutrition
jimmy_lewin,Άντρας,15,4,3,4,4,2,3,4,3,4,3,Ναι,αναρτά ενδιαφέρον περιεχόμενο,body_building
eva_andressa,Άντρας,27,5,4,4,4,2,3,3,4,3,3,Ναι,αναρτά ενδιαφέρον περιεχόμενο,body_building
casssmartin,Άντρας,27,5,4,3,3,2,3,3,4,4,3,Ναι,έχει ωραίο σώμα,fitness_model
therock,Άντρας,27,4,5,5,5,3,4,3,5,5,4,Ναι,έχει ωραίο lifestyle;αναρτά ενδιαφέρον περιεχόμενο,body_building
laurendrainfit,Άντρας,15,4,3,3,2,2,4,4,3,2,2,Ναι,έχει ωραίο σώμα,body_building
sophiebrace_fit,Άντρας,27,5,3,4,3,2,2,2,4,3,3,Ναι,έχει ωραίο σώμα,fitness_model
juditmoreno22,Άντρας,27,5,3,3,2,4,2,3,4,4,3,Ναι,έχει ωραίο σώμα,fitness_model
tavicastro,Άντρας,15,4,3,4,3,2,5,4,3,4,4,Όχι,έχει ωραίο lifestyle,body_building
bradleymartyn,Άντρας,27,4,4,4,5,3,4,3,5,5,3,Ναι,έχει ωραίο lifestyle,body_building
alexajeanfitness,Άντρας,15,4,4,4,4,2,4,4,3,3,4,Όχι,έχει ωραίο σώμα,pilates
jamie.bisset,Γυναίκα,24,3,2,2,1,1,2,1,4,3,1,Όχι,έχει ωραίο σώμα,body_building
missmiafit,Άντρας,15,4,5,4,4,2,2,4,3,3,3,Ναι,έχει ωραίο lifestyle,body_building
larrywheels,Γυναίκα,24,1,2,1,4,3,5,3,1,1,1,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του;έχει ωραίο lifestyle,athlete
joeyswoll,Άντρας,15,3,4,4,3,2,4,4,3,2,3,Όχι,αναρτά ενδιαφέρον περιεχόμενο,body_building
laurensimpson,Γυναίκα,24,4,4,3,2,2,3,1,4,4,3,Ναι,αναρτά ενδιαφέρον περιεχόμενο,body_building
johannesbartl,Γυναίκα,24,4,4,4,4,3,2,2,3,2,2,Όχι,αναρτά ενδιαφέρον περιεχόμενο,body_building
lindseyvonn,Άντρας,15,4,3,4,4,2,2,4,3,3,4,Όχι,έχει ωραίο lifestyle,athlete
lyzabethlopez,Γυναίκα,24,4,4,5,5,2,2,1,4,4,4,Ναι,έχει ωραίο lifestyle,body_building
brittnebabe,Γυναίκα,24,2,2,3,2,3,2,1,3,3,2,Όχι,έχει ωραίο σώμα,body_building
yanitayancheva,Γυναίκα,24,2,1,2,5,1,5,2,2,2,2,Όχι,έχει ωραίο σώμα,body_building
lucymountain,Άντρας,15,4,4,4,5,2,2,4,2,3,4,Ναι,έχει ωραίο lifestyle,nutrition
tavicastro,Γυναίκα,24,2,2,1,3,4,4,4,3,2,1,Όχι,έχει ωραίο σώμα,body_building
roellywinklaar,Γυναίκα,24,2,2,2,3,3,3,4,2,1,1,Όχι,έχει ωραίο lifestyle,body_building
dustinpoirier,Γυναίκα,24,4,2,4,5,2,2,1,3,4,4,Όχι,αναρτά ενδιαφέρον περιεχόμενο,athlete
mrolympia08,Άντρας,27,5,3,4,4,3,3,2,4,3,3,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,body_building
sadikhadzovic,Άντρας,27,4,3,4,3,4,3,3,3,2,2,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,body_building
Blogilates,Άντρας,29,1,1,2,3,2,5,3,4,1,1,Όχι,έχει ωραίο lifestyle,pilates
amandabisk,Γυναίκα,24,4,5,4,3,5,3,2,5,4,3,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του;έχει ωραίο σώμα;έχει ωραίο lifestyle;αναρτά ενδιαφέρον περιεχόμενο,yoga
traceymallett,Γυναίκα,24,3,3,3,4,4,4,3,4,3,2,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του;έχει ωραίο σώμα,pilates
paola_pilates,Γυναίκα,24,4,3,4,5,5,4,2,4,4,3,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,pilates
blogilates,Γυναίκα,24,5,5,4,5,4,4,3,3,4,4,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του;έχει ωραίο σώμα;έχει ωραίο lifestyle;αναρτά ενδιαφέρον περιεχόμενο,pilates
Pilates949,Γυναίκα,42,4,4,4,3,2,1,2,4,4,1,Ναι,αναρτά ενδιαφέρον περιεχόμενο,pilates
pilates949,Άντρας;Γυναίκα,34,4,4,4,4,2,2,2,4,4,3,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,pilates
bdccarpenter,Άντρας,23,3,5,3,3,4,3,2,4,4,2,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,nutrition
hannahstocking,Άντρας,28,3,2,2,4,4,4,3,3,3,3,Ναι,έχει ωραίο σώμα,fitness_model
iamyanetgarcia,Άντρας,28,5,5,4,5,2,1,2,5,5,5,Ναι,έχει ωραίο lifestyle,fitness_model
anllela_sagra,Άντρας,28,5,4,4,5,1,3,2,5,5,4,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,body_building
jenselter,Άντρας,28,2,2,3,3,2,4,1,3,1,2,Ναι,έχει ωραίο σώμα,fitness_model
tammyhembrow,Άντρας,28,5,5,5,5,1,4,1,5,5,5,Ναι,αναρτά ενδιαφέρον περιεχόμενο,fitness_model
amandaeliselee,Άντρας,28,2,2,4,3,2,3,2,3,3,2,Ναι,έχει ωραίο lifestyle,fitness_model
nastya_nass_,Άντρας,28,4,3,3,5,3,2,2,4,4,4,Ναι,έχει ωραίο σώμα,dance
eva_andressa,Άντρας,28,3,3,4,4,4,3,4,5,5,1,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,body_building
saschafitness,Άντρας,28,4,3,5,4,3,1,1,4,1,3,Όχι,αναρτά ενδιαφέρον περιεχόμενο,fitness_model
yarishna,Άντρας,28,1,1,1,3,2,5,5,4,4,1,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,body_building
demibagby,Άντρας,28,4,4,3,4,4,2,4,4,3,1,Όχι,αναρτά ενδιαφέρον περιεχόμενο,body_building
casssmartin,Άντρας,28,4,4,4,5,2,3,1,5,5,5,Ναι,έχει ωραίο σώμα,fitness_model
hannaoeberg,Άντρας,28,3,3,4,4,3,1,1,4,4,2,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,fitness_model
kaisafit,Άντρας,28,1,2,3,3,5,3,3,2,2,1,Όχι,έχει ωραίο σώμα,body_building
juditmoreno22,Άντρας,28,5,5,5,5,1,2,1,5,5,5,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,fitness_model
sophiebrace_fit,Άντρας,28,4,1,4,3,5,2,2,2,1,1,Όχι,αναρτά ενδιαφέρον περιεχόμενο,fitness_model
PAOLA_PILATES,Άντρας,30,4,4,4,4,1,3,1,4,4,3,Όχι,έχει ωραίο σώμα,pilates
alexandrashappybody,Γυναίκα,24,3,4,3,1,1,1,1,5,5,1,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,nutrition
lucymountain,Γυναίκα,24,5,5,5,3,3,1,1,3,3,1,Όχι,έχει ωραίο lifestyle,nutrition
soheefit,Γυναίκα,24,5,5,5,4,2,1,1,5,5,1,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,nutrition
kerispilatesroom,Γυναίκα,28,5,4,4,4,4,2,2,4,4,3,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,pilates
pilates949,Γυναίκα,28,3,3,3,2,5,2,2,5,4,2,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,pilates
jjweeks_pilates,Γυναίκα,28,4,3,4,1,1,2,2,5,5,2,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,pilates
sianmarshallpilates,Γυναίκα,28,3,1,4,1,2,2,2,4,4,1,Όχι,δεν βρισκω κανενα ενδιαφερον (Αλεξια),pilates
paola_pilates,Γυναίκα,28,5,4,4,1,1,2,1,5,5,2,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του;αναρτά ενδιαφέρον περιεχόμενο,pilates
pilatesplaceyyc,Γυναίκα,28,4,2,4,1,1,1,2,4,3,2,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,pilates
traceymallett,Γυναίκα,28,3,2,3,1,3,3,2,3,3,1,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,pilates
amandabisk,Γυναίκα,28,4,4,4,3,1,3,2,4,4,1,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του;αναρτά ενδιαφέρον περιεχόμενο,yoga
jenselter,Γυναίκα,28,4,3,3,4,3,5,2,2,3,1,Όχι,έχει ωραίο σώμα,fitness_model
amandaeliselee,Γυναίκα,28,2,2,4,5,3,5,2,2,1,1,Όχι,"Με τπτ, πιο ναρκισσισμος πεθαινεις (Αλεξια)",fitness_model
anllela_sagra,Γυναίκα,28,2,2,2,5,3,5,3,1,2,1,Όχι,"Με τπτ, απαραδεκτες φωτογραφιες, φουλ προκλητικες (Αλεξια)",body_building
sergiconstance,Γυναίκα,28,2,2,2,3,2,5,4,2,2,1,Όχι,"Με τπτ, ποζαρει με πολυ υφος",body_building
ronniecoleman8,Γυναίκα,28,4,1,2,2,4,2,4,3,1,1,Όχι,Τουλαχιστον φαινεται συμπαθητικος,body_building
lazar_angelov_official,Γυναίκα,28,2,1,2,4,4,5,4,1,1,1,Όχι,"Με τπτ, πολυ υφος",body_building
tammyhembrow,Γυναίκα,28,2,1,2,5,5,5,3,1,2,1,Όχι,έχει ωραίο σώμα,fitness_model
sianmarshallpilates,Γυναίκα,29,4,1,3,2,2,4,3,4,4,1,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,pilates
paola_pilates,Γυναίκα,29,4,3,4,1,2,3,2,3,4,1,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του;έχει ωραίο σώμα,pilates
pilatesplaceyyc,Γυναίκα,29,2,1,3,1,2,2,4,3,3,1,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,pilates
traceymallett,Γυναίκα,29,3,2,3,2,4,5,3,4,3,1,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,pilates
amandabisk,Γυναίκα,29,5,5,4,4,2,2,2,5,4,4,Ναι,έχει ωραίο σώμα;έχει ωραίο lifestyle;αναρτά ενδιαφέρον περιεχόμενο,yoga
itscaitlinturner,Γυναίκα,29,4,4,4,3,4,4,2,3,3,1,Όχι,αναρτά ενδιαφέρον περιεχόμενο,yoga
catmeffan,Γυναίκα,29,4,5,4,4,3,4,1,4,4,4,Ναι,έχει ωραίο σώμα;αναρτά ενδιαφέρον περιεχόμενο,yoga
andreitalevin,Γυναίκα,29,4,5,4,4,2,3,2,4,4,2,Ναι,έχει ωραίο σώμα;έχει ωραίο lifestyle;αναρτά ενδιαφέρον περιεχόμενο,yoga
theiobot,Άντρας,30,4,3,3,5,3,3,1,4,4,2,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του;αναρτά ενδιαφέρον περιεχόμενο,fitness_model
yoga_girl,Άντρας,30,4,4,4,4,3,2,1,4,4,3,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,yoga
mandysacs,Άντρας,30,4,4,3,4,2,3,2,4,3,3,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,athlete
misslisamorales,Άντρας,30,4,2,4,4,5,2,1,3,2,2,Όχι,έχει ωραίο lifestyle,nutrition
romanelanceford,Άντρας,30,4,4,4,4,2,3,2,4,3,2,Όχι,έχει ωραίο σώμα,body_building
lifeperiway,Άντρας,30,3,2,4,2,1,3,1,4,2,3,Όχι,έχει ωραίο σώμα,athlete
laurendrainfit,Άντρας,30,5,5,3,5,1,2,1,5,4,2,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,body_building
emilyskyefit,Άντρας,30,4,3,4,5,3,3,1,3,3,2,Όχι,έχει ωραίο lifestyle,body_building
joeyswoll,Άντρας,30,4,4,4,4,2,2,1,4,2,2,Όχι,έχει ωραίο σώμα,body_building
stephaniesanzo,Άντρας,30,4,4,4,4,2,2,2,4,4,3,Ναι,έχει ωραίο σώμα;αναρτά ενδιαφέρον περιεχόμενο,body_building
bradleysimmonds,Άντρας,23,3,4,4,2,5,2,1,4,5,2,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,body_building
cartergood,Άντρας,23,4,4,4,2,4,4,2,4,3,2,Ναι,αναρτά ενδιαφέρον περιεχόμενο,nutrition
joshkrameryoga,Άντρας,27,4,4,3,5,2,5,3,2,3,5,Όχι,Η Αλεξία μου έβαλε το μαχαίρι στον λαιμό,yoga
chontelduncan,Άντρας,24,4,3,4,4,4,3,4,4,4,2,Όχι,έχει ωραίο σώμα;Interesting exercises,body_building
chelseasyoga,Άντρας,1E+22,4,1,3,5,5,4,3,1,1,4,Όχι,μόδα αλλά μπα,yoga
dylanwerneryoga,Άντρας,29,3,3,2,3,2,2,2,3,4,2,Ναι,αναρτά ενδιαφέρον περιεχόμενο,yoga
curveswithmoves,Άντρας,24,4,2,3,5,3,3,2,2,1,2,Όχι,έχει ωραίο lifestyle,dance
ashleygalvinyoga,Γυναίκα,29,5,4,3,4,2,3,2,4,5,3,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,yoga
wundabarpilates,Άντρας,27,2,2,4,5,4,5,4,4,4,1,Όχι,μα δεν θα το έκανα,pilates
jennyredfordpilates,Άντρας,27,1,1,5,5,5,3,1,5,1,1,Όχι,μάλλον κατά λάθος,pilates
Wundabarpilates,Γυναίκα,29,2,3,2,3,3,3,3,3,2,2,Όχι,έχει ωραίο σώμα,pilates
diaryofafitmommyofficial,Άντρας,24,4,4,4,3,4,1,3,2,2,3,Ναι,Gives good advices,body_building
fluidformpilates,Άντρας,27,1,1,3,5,4,3,2,3,1,3,Όχι,για κανέναν λόγο,pilates
lisahubbardpilates,Άντρας,27,1,2,3,5,5,5,2,3,2,1,Όχι,έλα ντε,pilates
diren.kartal,Άντρας,24,4,2,3,2,4,2,1,3,4,1,Ναι,αναρτά ενδιαφέρον περιεχόμενο,yoga
jennyredfordpilates,Γυναίκα,29,4,4,5,5,2,3,2,4,5,3,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,pilates
sylviaroberts_pilates,Άντρας,27,3,2,3,5,5,4,2,4,2,1,Όχι,για ψυχολογικούς λόγους,pilates
emrickettz,Άντρας,24,3,5,4,3,5,2,2,5,5,2,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του;έχει ωραίο σώμα,body_building
paola_pilates,Άντρας,27,3,1,3,5,5,4,2,3,1,4,Όχι,ροζ,pilates
faisalpmafitness,Άντρας,24,4,4,4,4,4,3,1,4,4,1,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του;έχει ωραίο σώμα,body_building
fluidformpilates,Γυναίκα,29,4,3,3,3,4,3,2,3,3,2,Ναι,έχει ωραίο σώμα;έχει ωραίο lifestyle,pilates
kylehanagami,Γυναίκα,29,2,3,2,3,2,3,3,2,2,1,Όχι,αναρτά ενδιαφέρον περιεχόμενο,dance
ian_eastwood,Γυναίκα,29,2,2,2,2,1,3,3,2,2,2,Όχι,αναρτά ενδιαφέρον περιεχόμενο,dance
