name,gender,age,likeable,creative,emotionally balanced,extrovert,no-coherence,narcissus,temperamental,reliable,fitness_trust,other_trust,follow,reasons,category
Sadikhadzovic,Γυναίκα,30,4,4,3,3,2,3,1,4,3,2,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του;αναρτά ενδιαφέρον περιεχόμενο,body_building
Eva_andressa,Γυναίκα,30,4,3,3,4,2,3,1,4,4,2,Ναι,αναρτά ενδιαφέρον περιεχόμενο,body_building
balletbeautiful,Γυναίκα,24,5,5,5,5,5,1,1,3,4,4,Ναι,έχει ωραίο lifestyle;αναρτά ενδιαφέρον περιεχόμενο,dance
balletbeautiful,Γυναίκα,24,5,5,5,5,5,1,1,3,4,4,Ναι,έχει ωραίο lifestyle;αναρτά ενδιαφέρον περιεχόμενο,dance
Theballerina,Γυναίκα,24,5,5,4,5,4,2,1,5,4,5,Ναι,έχει ωραίο σώμα;έχει ωραίο lifestyle;αναρτά ενδιαφέρον περιεχόμενο,dance
naturally.sassy,Γυναίκα,24,5,5,5,5,5,1,1,5,5,5,Ναι,αναρτά ενδιαφέρον περιεχόμενο,dance
sommerray,Άντρας,28,5,4,3,5,4,3,2,4,5,3,Ναι,αναρτά ενδιαφέρον περιεχόμενο,fitness_model
kathryn_morgan,Γυναίκα,24,5,4,5,3,5,1,1,5,2,4,Ναι,έχει ωραίο lifestyle;αναρτά ενδιαφέρον περιεχόμενο,dance
Theballerina,Γυναίκα,24,5,5,4,5,4,2,1,5,4,5,Ναι,έχει ωραίο σώμα;έχει ωραίο lifestyle;αναρτά ενδιαφέρον περιεχόμενο,dance
balletbeautiful,Γυναίκα,24,5,5,5,5,5,1,1,3,4,4,Ναι,έχει ωραίο lifestyle;αναρτά ενδιαφέρον περιεχόμενο,dance
Stevecook,Γυναίκα,17,3,3,3,4,3,3,2,4,3,2,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,body_building
c.t.ali.fletcher,Γυναίκα,17,4,3,3,4,3,3,3,3,3,3,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,body_building
mandysacs,Γυναίκα,24,2,2,3,3,4,5,4,4,2,1,Όχι,έχει ωραίο σώμα,athlete
shonda1020,Γυναίκα,24,4,4,4,4,5,2,2,4,4,3,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,nutrition
misslisamorales,Γυναίκα,24,4,3,3,4,2,2,2,3,3,3,Όχι,αναρτά ενδιαφέρον περιεχόμενο,nutrition
lisafiitt,Γυναίκα,24,3,3,3,4,4,3,3,4,4,2,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,body_building
romanelanceford,Γυναίκα,24,3,3,3,4,3,2,2,4,3,2,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του;έχει ωραίο σώμα,body_building
lifeperiway,Γυναίκα,24,2,2,3,4,4,3,4,4,3,1,Όχι,έχει ωραίο lifestyle,athlete
