user,comment,like
eviidoghor,@afrolaetitia why?!,0
elmira_hls_kazan,👏👏👏👏👏👏,0
emoneyyofficial,@myself,0
chaoukippro,🙌🙌🙌👏😍,0
denkaydenizlikayak,👏👏👏👏,0
fmk498,Nope. Never. Not even if someone paid me a million pounds!,0
alexandr.simonoff,До сих пор мурашей по спине гоняю😂,0
de_chrigel,@lukipluess wenn? 🤔😂,0
2ci_el_ve_yeni_mallarin_satish,👏👏👏,0
cristiano_nepi,@lspinozzi ❤️,1
_asocial_man,oh my god it's scary😱,0
farah.vahdati,😍😍😍😍😍,0
farah.vahdati,✌✌,0
2016mohammadreza,Please don't publish such fearful videos. Some people may face heart attack or extreme anxiety which could cost their lives.,0
patriciolarranaga,Ñ9%9oº,0
leviathan1321,Great song 🔥,0
ana.lauck,Ohh euphoria soundtrack 😍,0
hotelboutiqueminister,😮🔥😍,0
arminsafaie17,😍😍😍😍😍😍,0
hsynhsm3241,No Danger,0
ramin_kadivar6,😍🌿🌺🏅,0
21.snake,the name is Labrinth,0
natasha_kravchenko____,❤️🔥🔥🔥🔥🔥,0
robafman,@channr09 our camping was down there!!,0
shaparak_craft,Freeeee🕊️,0
photographic.experiment,Hi🙌. Check my profile. I am a new amateur photographer with a passion of creating better and better content. @photographic.experiment,0
diminie132,Me after seeing the question paper during exam,1
bjr016,Nope,0
living_hotels,Woooow,0
chucky.moerderpuppe,I would do 😍❤️🔥,0
mrchamfer,@pweeti_rhi,0
khokha3689,♥♥♥♥♥♥,0
april_a413,Nope,0
fleecie007,"Besides the fact that I am a big chicken, a colleague died doing it so that is a definite no.",0
bollywood_nature_clipmusic,🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺,0
rosiezazzara,Amazing❤️,0
_itsdlovan_,OMG 👀 but that was cool i wish i could try it like once in my life :))),0
marinmiletic4,@luciana0718 gledan ovo i seren u gace 😢,1
ashleyl__25,Nope,0
sabri_maryam1,تو ادمی😮,0
marco.leonardi87,😍😍,0
liliannunescosta,😮😮😮😮,0
_world.is.awesome_,Wow😍🔥,0
ramonaisabelquintero956,Drenando el estrés 🙌🙌🙌🙌,0
jjjyyyaa,Wrong bgm,0
