hashtags,x,y,z
thebodycoach,-0.05369662148682488,0.1249273321957301,0.058685735077532365
workout,-0.03530700517966136,-0.0002711806433135277,-0.012585272636362943
fitness,-0.03530700517966131,-0.0002711806433438456,-0.012585272636373998
transformationtuesday,-0.05803010257984785,0.1848097953043065,0.09871773206815805
bodycoachapp,-0.054391437588081876,0.1363590013735095,0.06686394632501488
HeyDuggee,-0.056135421165171374,0.14807353020039984,0.07323659199292913
InspiringStories,-0.05270062535004185,0.12094059165057758,0.05745818677345835
motivation,-0.039647045319368836,0.014526755621141167,-0.006226517997265228
health,-0.05613542116517138,0.14807353020039976,0.07323659199292919
inspiration,-0.04212619972145882,0.0625296303331752,0.026168283503842097
joewicks,-0.03760110616585029,0.005136891446065805,-0.01082677512496702
food,-0.05369662148682451,0.1249273321957306,0.05868573507753307
recipes,-0.03900644769173171,0.014975974994887436,-0.005525359943750482
foodie,-0.03900644769173171,0.014975974994887436,-0.005525359943750481
thebodycoachtv,-0.05837477628907345,0.16838371858815093,0.08566075400408392
goustogang,-0.054391437588081876,0.13635900137350956,0.06686394632501502
ad,-0.05434362398339835,0.13985841362454507,0.06912184259206804
Leanin15,-0.054391437588081876,0.13635900137350956,0.06686394632501502
pewithjoe,-0.039536226268216894,-0.02465118350451579,-0.03855316296871472
,-0.03228228139422875,-0.014829592660446528,-0.019823569922233684
breakfast,-0.03900644769173171,0.014975974994887436,-0.005525359943750481
kca,-0.05837477628907345,0.16838371858815093,0.08566075400408392
nickelodeon,-0.039684334909173724,0.016095833799828298,-0.005254897239278004
leanin15,-0.03272317177717171,-0.015691128266165595,-0.020727255070088085
newzealand,-0.0577109091361933,0.16603298267329222,0.08426892402313339
australia,-0.053521470933401497,0.13338924550840559,0.06551639485871275
PEWithJoe,-0.0376819938856548,0.00983341333438441,-0.007227708061529561
Legends,-0.032044089254600464,-0.01495520168400681,-0.019711627976996694
SharpieBeardsForTheWin,-0.0320440892545989,-0.014955201683735727,-0.019711627977432367
worldbookday,-0.05613542116517138,0.14807353020039976,0.0732365919929292
nobsapp,-0.03907539223229733,0.014731383261783271,-0.005114510192583416
moreselflove,-0.03779569978414328,0.009041722239824738,-0.007894914188917012
