hashtags,x,y,z
vush,-0.04352058214444105,0.04677304566649744,0.012555542221202556
vushfam,-0.05609054247524674,0.1454636077846819,0.07105357626578901
NFR,-0.03900644769173171,0.014975974994887436,-0.005525359943750481
HappyEaster,-0.03272317177717171,-0.015691128266165595,-0.020727255070088085
AD,-0.03272317177717171,-0.015691128266165595,-0.020727255070088085
CurlyWurly,-0.032044089254598146,-0.014955201682816605,-0.019711627977355393
adgifted,-0.03556325627289268,6.657144327049076e-05,-0.012559305212991688
ootn,-0.05369662148682451,0.12492733219573063,0.05868573507753307
DateNight,-0.03204408925459797,-0.014955201683027487,-0.019711627977638473
bootychallenge,-0.03204408925459766,-0.014955201682536631,-0.019711627977377296
fitnesschallenge,-0.032044089254597875,-0.014955201682229781,-0.01971162797777635
clientprogress,-0.03248782463321894,-0.015431229028391086,-0.020368602222388402
fitnesstransformation,-0.039536226268216894,-0.024651183504504206,-0.0385531629687058
fitnessworkout,-0.0320440892546,-0.014955201683154494,-0.01971162797698297
fullbodyworkout,-0.03204408925460015,-0.014955201683608414,-0.0197116279770659
gymworkout,-0.03238007029278039,-0.015314241964475596,-0.02020668265822052
fitnessjourney,-0.03393278740009274,-0.005712476527730907,-0.014679699964633744
breathlesscabo,-0.03373390295114271,-0.014697698983297175,-0.02187561740564329
bikinigirl,-0.03347265720583356,-0.015034410419319228,-0.02148463789006119
shoulderworkout,-0.03748863686561675,0.016138907483269405,-0.0037659193243724043
resistancebandsworkout,-0.035626609244397506,-0.006118357392094293,-0.017011634244269824
homeworkout,-0.03244063475067984,-0.015376899701558628,-0.020312929658452297
backworkout,-0.03304443727327951,-0.01595323443116357,-0.021858026222965107
clientspotlight,-0.03262970745798016,-0.015574214880277139,-0.02060151026431152
summerfun,-0.03219134729835364,-0.015110422216985811,-0.019932535859155835
cabovacay,-0.03227486403695837,-0.015200768978285838,-0.020050129806879348
bodyweightworkout,-0.035432232065786384,-0.010416017704308797,-0.021242742832379626
bikiniworkout,-0.034878127093471996,-0.005061898414758954,-0.015016143458382335
BreathlessCabo,-0.03334957056817542,-0.01403861285234172,-0.02033836029611842
Aries,-0.03204408925459694,-0.014955201682337079,-0.01971162797774396
happyfriday,-0.0437297275521524,0.03092391843454673,-0.0030860492638801486
cheerstotheweekend,-0.03512314222400485,-0.008623145553871345,-0.018848153003951134
healthylifestyle,-0.035626609244397506,-0.006118357392094293,-0.017011634244269824
corechallenge,-0.03213855725269315,-0.015055985392932514,-0.01985109949273353
abchallenge,-0.03963032464584581,0.02250812993482454,-0.002661791606557133
tricepworkout,-0.032202762617070495,-0.015123556667994096,-0.01994365287834359
upperbodyworkout,-0.032875357165389765,-0.014826175068346123,-0.020803922258982064
gimmeallthebikinis,-0.03736519465287306,0.0007433026616346566,-0.014467580661901425
amirite,-0.034030433555172324,-0.01550311750359336,-0.023224456268407082
bikiniseason,-0.03247711592776197,-0.015335567223932443,-0.020307175000814963
coreworkout,-0.039064137314363916,0.03161691306848027,0.0053356049159727845
legworkout,-0.034878127093471996,-0.005061898414758954,-0.015016143458382335
legday,-0.03381286376560404,0.0007848121085005855,-0.009569839421693867
vacaytime,-0.03531314490607449,-0.0212483462220596,-0.02887136370354092
findyoursalt,-0.034422650819998776,-0.015404571565606996,-0.023969136413117723
bikinilife,-0.038294636555493186,0.028614105063796007,0.004243288848672343
"AllStrengthNoSweat,",-0.03748863686561675,0.016138907483269405,-0.0037659193243724043
noplastic,-0.03204408925459822,-0.014955201683207506,-0.019711627977546917
legcircuit,-0.03238007029278039,-0.015314241964475596,-0.02020668265822052
KBlegs,-0.032044089254598174,-0.01495520168283381,-0.019711627977494536
fitnessmotivation,-0.03501108079057857,-0.015299480084729707,-0.024661186015336945
happystpatricksday,-0.03204408925459821,-0.014955201682997727,-0.0197116279775253
sundayfunday,-0.033739006115089204,-0.0022950082960975396,-0.011560475748583187
beachbabe,-0.032096696788176546,-0.014976719506952865,-0.019808325372529603
sunshine,-0.03240916218115501,-0.015303797660657148,-0.02022192022404942
dumbbellworkout,-0.032323032418113316,-0.015207023713438433,-0.020089568808194538
portioncontrol,-0.03217057569249539,-0.015030667775401517,-0.01985521128630533
healthyeating,-0.032380070292856104,-0.015314241982918508,-0.02020668274554895
InternationalWomensDay,-0.032439532893348444,-0.014922042033302758,-0.020006192506719644
womenempowerment,-0.03204408925459793,-0.014955201682285429,-0.019711627977277497
womensupportingwomen,-0.03240326984997557,-0.01525454591855684,-0.020179960103725563
strongwomen,-0.032330284541518546,-0.015176579184581504,-0.020072194024646706
plankchallenge,-0.03204408925459888,-0.014955201682616714,-0.019711627977451972
followalongworkout,-0.03247472870766814,-0.015353623144200978,-0.02030427150367068
fiitnesschallenge,-0.033080906040115536,-0.01118029898093626,-0.017776526140024066
resistancebandschallenge,-0.03236943082990289,-0.015303531414391648,-0.020192881824101564
4weekchallenge,-0.03204408925459839,-0.014955201683040377,-0.019711627976999754
abworkout,-0.032380070292856104,-0.015314241982918508,-0.02020668274554895
dialedin,-0.033343770326109835,-0.008739767368347109,-0.016024576302615546
throwback,-0.0320440892545985,-0.014955201682768185,-0.019711627977643836
mealprep,-0.03221171512926504,-0.015106149767519311,-0.019938216211510283
"420""",-0.03291198568871906,-0.01592735302944973,-0.021155709124450965
earthday2021!,-0.03363989273180397,-0.015231351781297486,-0.02190130493856328
diadelatierra!,-0.03390969202013643,-0.015227860774326637,-0.022257010240083766
KOTD,-0.03204408925459771,-0.014955201682640367,-0.01971162797760153
dinner,-0.032044089254598555,-0.014955201683737158,-0.019711627977685154
cena,-0.03807738976888261,-0.017665860442098502,-0.029996321184044175
almuerzo!,-0.03231096744747896,-0.014733646215968102,-0.019739897388839623
lunch!,-0.03491699463680067,-0.016052521522762233,-0.023630884552233694
meatlessmonday,-0.03204408925459953,-0.014955201683563844,-0.019711627977230636
saltbae,-0.03305327896113679,-0.016085437159708695,-0.0213917593408585
Dallas!,-0.03330215758581582,-0.01636331318582392,-0.021807674461945134
WineDownWednesday,-0.038251307905315196,-0.021614060311267894,-0.03356536270375815
alwayschill,-0.03395934719772657,-0.01709027094094166,-0.022903164621243546
rescuedog,-0.033053278961136835,-0.016085437159743844,-0.021391759340857713
adventureswithMax,-0.03204408925459921,-0.014955201682937673,-0.019711627977624328
lunch?,-0.032044089254598056,-0.014955201682755713,-0.019711627977567817
tacotuesday,-0.0378265255664508,-0.021796559824850018,-0.03277627095628896
ftw,-0.03516554623225769,-0.01656056600474322,-0.02440710698131351
lowcarb,-0.03516554623225769,-0.01656056600474322,-0.02440710698131351
soundoffood,-0.03373421715686566,-0.01615659606160069,-0.02204835347883473
SundayFunday.,-0.05020313227294544,0.157785245349505,0.09077052758211006
neverimpressed.,-0.05020313227294544,0.157785245349505,0.09077052758211006
Dallas,-0.0497255019153768,0.16269370092204588,0.09508357850036026
blackhistorymonth,-0.05020313227294544,0.157785245349505,0.09077052758211006
martesdetacos,-0.036065182841406904,0.019610828772358754,0.002420728934201394
impossiblepartner,-0.05020313227294544,0.157785245349505,0.09077052758211006
ImpossiblePartner,-0.05020313227294544,0.157785245349505,0.09077052758211006
metasdecarne!,-0.04901045968175541,0.1463623948977739,0.08348154609662217
MeatGoals,-0.0367128172429358,0.0298402908654529,0.009431288406405865
ScaleWeight,-0.04144962288090658,0.08884641293634998,0.04923102641139454
TargetWeight,-0.049819006508451336,0.1528740415155525,0.08752194610791185
BodyWeight,-0.04852679371255754,0.14982414983664138,0.0867107795988955
EatLiftThrive,-0.0491266691490494,0.1467778335061654,0.08358886638009994
OnlineTraining,-0.049824032705334094,0.15291255472092422,0.08755084491093668
SquatSetup,-0.0320440892545984,-0.014955201682454473,-0.019711627977688714
LiftWithSohee,-0.03229595409488923,-0.015233613184839357,-0.020100752243912924
StrengthTraining,-0.03284886702407686,-0.016035184478347397,-0.02148626057912539
NoFoodRestriction,-0.03272317177433399,-0.015691128928120267,-0.02072725609103722
BagelSandwich,-0.03615728517097945,0.01247770159505548,-0.004733844317052531
OnlineCoach,-0.03615728517097945,0.01247770159505548,-0.004733844317052531
RigidMealPlan,-0.03272317177433399,-0.015691128928120267,-0.02072725609103722
BehaviorChange,-0.03272317177433399,-0.015691128928120267,-0.02072725609103722
CSB,-0.071689562481006,0.5355755185376598,0.3525490428636509
Squat,-0.07215655863258272,0.5050808875764928,0.3282662137831536
HeelsElevatedSquat,-0.06850443741626817,0.4690941873253575,0.3054201234739047
CropShopBoutique,-0.07234916701314467,0.5835851046246574,0.390092475441968
AnkleMobility,-0.0715474370634891,0.5245178360399829,0.34453186696003935
Ad,-0.07433405967272189,0.5754449525623251,0.37963699741796747
DietCulture,-0.06850443741626817,0.4690941873253575,0.3054201234739047
IntuitiveEating,-0.06606359416422762,0.4562188810264343,0.2994049861718652
strengthtraining,-0.07064549544832707,0.5602115438724429,0.3740839057262637
liftwithsohee,-0.061548509566709465,0.39106980795456725,0.25434318227075764
eatliftthrive,-0.06573937217915393,0.4324582035485825,0.28059124324987506
onlinecoaching,-0.07579869266421459,0.6386266367474794,0.4279125837685161
SelfDoubt,-0.071689562481006,0.5355755185376598,0.3525490428636509
PhDLife,-0.07343759690324829,0.6056249368516403,0.40555740294847575
ImposterSyndrome,-0.07064549544832707,0.5602115438724429,0.3740839057262637
FoodScienceBabe,-0.05982526451709677,0.39441245649820844,0.25993037348572906
FearBasedMarketing,-0.06458132794147911,0.41623911350697745,0.2695937525700877
DetoxDiets,-0.05838131514409649,0.36302293589331175,0.23929499699297677
FullBodyWorkout,-0.071689562481006,0.5355755185376598,0.3525490428636509
PartnerWorkout,-0.07191017135875587,0.5833396569623286,0.39040503951686095
FitnessVariables,-0.054816142598176486,0.32740241908036777,0.21573258197067907
BigRocks,-0.06678204535185872,0.43775070670962507,0.2832332302861721
InternationalSocietyOfSportsNutrition,-0.05982526451709677,0.39441245649820844,0.25993037348572906
ISSN,-0.07579869266421459,0.6386266367474794,0.4279125837685161
SarahEverard,-0.05259356750138534,0.2887226951952361,0.19310944291234353
Quads,-0.06472824452604202,0.4062526373211665,0.2616606898107206
StrenghTraining,-0.06850443741626817,0.4690941873253575,0.3054201234739047
BenchPress,-0.06573937217915393,0.4324582035485825,0.28059124324987506
alternatedayfasting,-0.06588767537438879,0.4110167944461844,0.2634261192685056
weightwatchers,-0.06359925678823253,0.37353056608683977,0.23754148626897112
nutrition,-0.07062561813595115,0.4900487387272753,0.31863319197277423
diet,-0.07176146541296881,0.4956473040467039,0.32113045783425204
caloriecounting,-0.06177026489932685,0.34995506207024507,0.22272829609801373
lowcarbohydrate,-0.07579869266421459,0.6386266367474794,0.4279125837685161
lchf,-0.07493926407866563,0.5794048760892035,0.38144550630894536
fructose,-0.07266353847893488,0.5449136059259869,0.35811889162546734
sugar,-0.0501691293113772,0.20802328735108444,0.12925634615537293
eatclean,-0.06939203637131004,0.52950724571642,0.3518097666455418
calories,-0.05136378149039499,0.22193815061498023,0.13727972846588898
calorie,-0.0640109255112954,0.43614059897509594,0.28623296682154004
myfitnesspal,-0.05573534540081778,0.27728507876463543,0.17377815791050974
bodybuilding,-0.06626046992551456,0.4507406786576642,0.29472140701191435
cleaneating,-0.07110267382467515,0.5277496594607138,0.34674850551498054
flexibledieting,-0.06433483162467309,0.41714458362210316,0.2713638623035849
ketogenic,-0.07360523526042032,0.5619613119163137,0.3698101811892862
caloriecomparison,-0.07579869266421459,0.6386266367474794,0.4279125837685161
obesity,-0.06776198735974139,0.5119714946321546,0.34044652846511964
iifym,-0.067048945945329,0.4617651371809049,0.3013752959574468
keto,-0.053789071348575176,0.30791984340390893,0.20211388840851555
intermittentfasting,-0.06903892582388169,0.5074010502491885,0.3341269896451885
weightloss,-0.06163145555668338,0.37173419198678326,0.23983327871495005
caloriedeficit,-0.06914382484291112,0.45903846004719107,0.2959571190114508
fruit,-0.06484494634901528,0.39281168115403536,0.2514096631610051
sugaraddiction,-0.06433357096254452,0.45236080684385793,0.29987028006358274
satietyindex,-0.05930538829680433,0.3265219233487196,0.2070828552934347
sugaraddict,-0.07208759992060441,0.5325079219391883,0.3495034832482141
foodaddiction,-0.05811084008156829,0.32667806375159203,0.20937840688141743
foodprocessing,-0.07234916701314467,0.5835851046246574,0.390092475441968
foodaddict,-0.07325658262624718,0.5592122478084428,0.3682209600388536
protein,-0.07360898471438769,0.6065178310565442,0.40598796058924325
potato,-0.053789071348575176,0.30791984340390893,0.20211388840851555
satietyfoods,-0.07579869266421459,0.6386266367474794,0.4279125837685161
nutritionscience,-0.06226769593877087,0.35429245407393284,0.2246720965239726
satiety,-0.07071667112224286,0.5417336033171244,0.358761368107721
potatoes,-0.05863757263240834,0.33220900530547404,0.21295071907394034
chocolate,-0.07579869266421459,0.6386266367474794,0.4279125837685161
eastereggs,-0.05056023305885867,0.23442251351476498,0.148388475972654
easter,-0.06239543652829266,0.39568601057937425,0.25696059073774985
dairy,-0.05045502780265043,0.23946524003410266,0.15375666641802302
10dayketonechallenge,-0.06660365556768948,0.4524646597515836,0.295381559503325
10dayketochallenge,-0.05829671448910213,0.37347174659011934,0.24715411682540514
flexiblediet,-0.07360523526042032,0.5619613119163137,0.3698101811892862
lowfat,-0.03127466854425043,0.6035851748599191,0.39951171199121965
ketones,-0.07493926407866563,0.5794048760892035,0.38144550630894536
ketonechallenge,-0.07176146541296881,0.4956473040467039,0.32113045783425204
atkins,-0.052853519496519265,0.2369524213688419,0.1482958837210567
fatloss,-0.06994874728307644,0.5134735356642328,0.3378743533312395
paleodiet,-0.05056023305885867,0.23442251351476498,0.148388475972654
foodquality,-0.06775742780976982,0.4776031993767759,0.31370053049983754
paleo,-0.06359925678823253,0.37353056608683977,0.23754148626897112
timerestrictedfeeding,-0.07579869266421459,0.6386266367474794,0.4279125837685161
carnivore,-0.06877505746351319,0.4638049093115927,0.30051079660717367
sixpackabs,-0.07802646692571698,0.6240000646864519,0.4122362151311222
sixpack,-0.053789071348575176,0.30791984340390893,0.20211388840851555
sixpackworkout,-0.07245136361399357,0.533293497844165,0.34988643832523775
sixpacks,-0.054611688898811836,0.30548776756413737,0.1974102998332697
mentalhealth,-0.07176146541296881,0.4956473040467039,0.32113045783425204
eatingdisorders,-0.05757398689413354,0.2883476787092324,0.1798509853551827
postbabybody,-0.07579869266421459,0.6386266367474794,0.4279125837685161
italygraceduke,-0.047860848568905226,0.16726886653142156,0.10065416144586052
womensday,-0.07360898471438769,0.6065178310565442,0.40598796058924325
FableticsEUAmbassador,-0.05616711081932353,0.2785403357098037,0.17500174192214277
FableticsUK,-0.07245136361399357,0.533293497844165,0.34988643832523775
AdidasTraining,-0.058203485921016256,0.32073717270997815,0.20446502313525602
RFEFitness,-0.07195495714253253,0.579431775981389,0.38688469906636364
Homeworkout,-0.07325658262624718,0.5592122478084428,0.3682209600388536
HereToCreate,-0.0676944148582192,0.46842690962538686,0.3059968655975102
goals,-0.0569379801283027,0.26694132589516184,0.16390970896617982
weightlossjourney,-0.06921853135512625,0.5204589455718505,0.34589012724342527
hiitworkout,-0.061261423430240186,0.34462505807049,0.21921943246992745
wellness,-0.07657328835680854,0.6018616047233454,0.39690588015132033
beforeandafter,-0.07325658262624718,0.5592122478084428,0.3682209600388536
intervaltraining,-0.06606359416422762,0.4562188810264343,0.2994049861718652
getresults,-0.05520902788067368,0.2957187458222026,0.19011192687256132
happybody,-0.056951447837346736,0.31425028459557686,0.2012897489459651
bodypositivity,-0.05930538829680433,0.3265219233487196,0.2070828552934347
results,-0.07579869266421459,0.6386266367474794,0.4279125837685161
mealplan,-0.06163145555668338,0.37173419198678326,0.23983327871495005
bodygoals,-0.061548509566709465,0.39106980795456725,0.25434318227075764
thehappybodyplan,-0.05930538829680433,0.3265219233487196,0.2070828552934347
exercise,-0.05967939234701448,0.36367044620736744,0.23568413144582862
sale,-0.06776198735974139,0.5119714946321546,0.34044652846511964
fitnessinspo,-0.07067492386271981,0.4935298309620693,0.32166641988437195
HIIT,-0.06467902531253834,0.468206265869984,0.31203776187914806
healthy,-0.0555924307505463,-0.10199197720190033,-0.26823747751301374
deal,-0.04163598401927766,-0.050569985068801046,-0.12139027866882962
LISS,-0.05915164045249111,0.013082833703943864,-0.1639982539900193
transformation,-0.0555924307505463,-0.10199197720190033,-0.26823747751301374
dietplan,-0.0555924307505463,-0.10199197720190033,-0.26823747751301374
hiit,-0.0527475628684313,-0.09223169845459596,-0.2382843159022752
wellbeing,-0.0555924307505463,-0.10199197720190033,-0.26823747751301374
workoutplan,-0.0555924307505463,-0.10199197720190033,-0.26823747751301374
halfprice,-0.05915164045249111,0.013082833703943864,-0.1639982539900193
fitnessplan,-0.0555924307505463,-0.10199197720190033,-0.26823747751301374
fatburn,-0.0555924307505463,-0.10199197720190033,-0.26823747751301374
bodyconfidence,-0.0555924307505463,-0.10199197720190033,-0.26823747751301374
saturday,-0.04182623877390025,-0.05103307092710646,-0.12256631455518065
weekend,-0.04244351114002649,0.01043259187283411,-0.04545189176058714
weightlosstransformation,-0.0527475628684313,-0.09223169845459596,-0.2382843159022752
MondayMotivation,-0.0527475628684313,-0.09223169845459596,-0.2382843159022752
liss,-0.0555924307505463,-0.10199197720190033,-0.26823747751301374
getfit,-0.0555924307505463,-0.10199197720190033,-0.26823747751301374
realresults,-0.042777131885817506,-0.052279674387277715,-0.12734395609438046
toning,-0.0527475628684313,-0.09223169845459596,-0.2382843159022752
abs,-0.03890227409571001,-0.040645015610124006,-0.09234496645712297
halfoff,-0.0428229401595826,-0.054975355522280556,-0.13397277602845278
fitnesssale,-0.0527475628684313,-0.09223169845459596,-0.2382843159022752
slim,-0.04651508648721716,-0.019504963768118503,-0.10471490697451438
fastresults,-0.0527475628684313,-0.09223169845459596,-0.2382843159022752
tone,-0.0555924307505463,-0.10199197720190033,-0.26823747751301374
HIITworkout,-0.0555924307505463,-0.10199197720190033,-0.26823747751301374
beachbody,-0.0555924307505463,-0.10199197720190033,-0.26823747751301374
moneyoff,-0.04512683225294781,-0.06312558627101032,-0.1570133043742556
happyweight,-0.04504304526381754,-0.030076706038012137,-0.11228630018077149
halfpence,-0.0527475628684313,-0.09223169845459596,-0.2382843159022752
fitnessgoals,-0.0555924307505463,-0.10199197720190033,-0.26823747751301374
inspo,-0.0527475628684313,-0.09223169845459596,-0.2382843159022752
newgoals,-0.0555924307505463,-0.10199197720190033,-0.26823747751301374
50%off,-0.0555924307505463,-0.10199197720190033,-0.26823747751301374
fitnessinspiration,-0.0555924307505463,-0.10199197720190033,-0.26823747751301374
quote,-0.0527475628684313,-0.09223169845459596,-0.2382843159022752
fitnessregime,-0.043028521599156724,-0.055558891819126245,-0.13554401903979896
mondaymotivation,-0.0555924307505463,-0.10199197720190033,-0.26823747751301374
monday,-0.0527475628684313,-0.09223169845459596,-0.2382843159022752
lowcal,-0.040218680806768374,-0.04558038337369552,-0.10630615765290602
carbs,-0.0527475628684313,-0.09223169845459596,-0.2382843159022752
foodporn,-0.0555924307505463,-0.10199197720190033,-0.26823747751301374
exerciseplan,-0.0555924307505463,-0.10199197720190033,-0.26823747751301374
lowcalmeal,-0.0527475628684313,-0.09223169845459596,-0.2382843159022752
foodsnaps,-0.04134520028324122,-0.04874839529275888,-0.1166471703644753
healthfood,-0.0555924307505463,-0.10199197720190033,-0.26823747751301374
dietfood,-0.0408347074530527,-0.039885444878224756,-0.08131583006314518
dieting,-0.0527475628684313,-0.09223169845459596,-0.2382843159022752
workoutculture,-0.0555924307505463,-0.10199197720190033,-0.26823747751301374
magnum,-0.0555924307505463,-0.10199197720190033,-0.26823747751301374
icecream,-0.03204408925459982,-0.014955201683509426,-0.01971162797732551
cheatmeal,-0.0555924307505463,-0.10199197720190033,-0.26823747751301374
treat,-0.0527475628684313,-0.09223169845459596,-0.2382843159022752
healthyliving,-0.0555924307505463,-0.10199197720190033,-0.26823747751301374
friday,-0.0527475628684313,-0.09223169845459596,-0.2382843159022752
friyay,-0.0527475628684313,-0.09223169845459596,-0.2382843159022752
fitnessculture,-0.0555924307505463,-0.10199197720190033,-0.26823747751301374
weighlossjourney,-0.03483916017765351,-0.01323016424117489,-0.022396944736018488
weightlossprogram,-0.05896956058952895,0.1200717859470722,0.04196694617188771
steadystate,-0.05896956058952895,0.1200717859470722,0.04196694617188771
toned,-0.05896956058952895,0.1200717859470722,0.04196694617188771
freeworkout,-0.056053530348389856,0.10449894120713193,0.03438682188957804
workoutclip,-0.05160681406802893,0.08016275224448592,0.02292954290070413
weightlossgoals,-0.05896956058952895,0.1200717859470722,0.04196694617188771
90dayshred,-0.03372569295067921,-0.007348697118583344,-0.015592958757621874
MidWeekMotivation,-0.0377799149063516,0.00618562938844125,-0.012141870284608398
fit,-0.05896956058952895,0.1200717859470722,0.04196694617188771
clip,-0.050624150042120085,0.07676965508928864,0.021546586677756385
tasty,-0.05556462866100596,0.10128954848592193,0.03303951835903962
snacks,-0.056053530348389856,0.10449894120713193,0.03438682188957804
easymeals,-0.03204408925459742,-0.014955201682802339,-0.01971162797753528
nogym,-0.03220222536072822,-0.013312567631029112,-0.01861656983213397
sweaton,-0.056053530348389856,0.10449894120713193,0.03438682188957804
sweat,-0.056053530348389856,0.10449894120713193,0.03438682188957804
bikini,-0.056053530348389856,0.10449894120713193,0.03438682188957804
summer,-0.056053530348389856,0.10449894120713193,0.03438682188957804
summershred,-0.0562270480948761,0.13894742268794774,0.061618163890129946
bikinibody,-0.05286474192477674,0.08797778159887365,0.02666233257074599
pbj,-0.03204408925459726,-0.01495520168282011,-0.019711627977857978
foodswap,-0.03517149360067862,0.011870779187772728,-0.003086629361305153
peanutbutter,-0.03171500924521152,-0.0146127462413006,-0.01924025922952354
lockdown,-0.03204408925459932,-0.014955201682640366,-0.019711627977728175
tatsy,-0.03204408925459743,-0.014955201682647858,-0.01971162797794483
spring,-0.03319464930506538,-0.01625210441924747,-0.02150731755862851
healtheating,-0.033713204316050634,-0.01683147923582989,-0.02230920936817586
recipe,-0.033713204316050634,-0.01683147923582989,-0.02230920936817586
brunch,-0.046650314932841046,-0.0336988945310088,-0.05623297875731846
thehappbodyplan,-0.033713204316050634,-0.01683147923582989,-0.02230920936817586
healthyfood,-0.033713204316050634,-0.01683147923582989,-0.02230920936817586
veggiefood,-0.03311962149441796,-0.015521018018361813,-0.02101731630889885
yum,-0.03204408925459821,-0.014955201682833536,-0.019711627977693432
healthyrecipes,-0.03204408925459895,-0.014955201683501123,-0.019711627977315915
veggie,-0.034644222394483025,-0.018438994538397525,-0.025164528208143164
happybodyplan,-0.033713204316050634,-0.01683147923582989,-0.02230920936817586
inspirational,-0.03171500924521152,-0.0146127462413006,-0.01924025922952354
lettucewrap,-0.04697357440939368,0.14792267091861766,0.08692703386327862
burger,-0.0418763745147653,0.07657467915344797,0.03674557618627441
fitnessfacts,-0.04670154975977566,0.1480212205464867,0.08683541794851578
sleep,-0.04255316271307682,0.05987188643998421,0.023241058447252022
sleepscience,-0.051169260058284934,0.1803822609836867,0.10445360740312326
science,-0.04880021016185236,0.1297676884395653,0.06931856909764003
weightlossscience,-0.0459070791223589,0.07274283464991034,0.029510316416154186
info,-0.042457579935342556,0.06115512225954202,0.024442008979911903
comfortfood,-0.00966979029248415,0.1082316563458583,0.05618657351556328
healthyrecipies,-0.0453230552360763,0.06346582633926941,0.021602083293986014
300cals,-0.04993685908326831,0.15220134210120398,0.08569280777803771
fitnesstraining,-0.04871287482597035,0.17041811081779062,0.10086277824846665
recipie,-0.03350012771431233,-0.013963539258247861,-0.020682108267198268
yorkie,-0.05909836473934527,0.2612577676929227,0.15645024940741636
milkyway,-0.05072452593931876,0.15894329123929749,0.08915776960370499
caloiredeficit,-0.0403337001035244,0.056659488173182025,0.024021199561346893
healthymeals,-0.04287771122594404,0.09538469773907103,0.05143480671533286
healthynothealthy,-0.04433850466120906,0.1415465652627492,0.08574042201516643
recipies,-0.042306501151861076,0.11301762675808126,0.06656396809720981
takeaway,-0.04016911721576438,0.05186247178081682,0.02114708399545022
milestone,-0.04069629773507613,0.04618013668443183,0.015588326045968123
fitnessplatform,-0.03779055213876122,0.016331221663814108,-0.0031742536666823085
sales,-0.037233836454627495,0.01681608251149111,-0.0022510179062040915
thehappybodyplan#caloriedeficit,-0.04011046963687981,0.0330443968930875,0.006315620141733763
PMacfitness,-0.04141735001234517,0.040193985771253875,0.009921635871308078
ProjectPMac,-0.03639698858239913,0.02263805334888656,0.003916367377760733
HotGirlSummer,-0.03294823343827383,-0.014027198044981561,-0.01980598212122237
PMacChallenges,-0.0363322079117289,0.03142379900188039,0.011123192938149631
HotBodySummer,-0.03837942611057657,0.015871253164468815,-0.004647023633655601
28DayChallenge,-0.03583770818555068,0.004493736391091526,-0.009824202744589068
PMacFitness,-0.032044089254596876,-0.014955201682360302,-0.019711627977404916
LockdownLives,-0.03708185251847292,-0.021577515252641843,-0.028817541884095788
SundayTelegraph,-0.035681845051605536,-0.019757762515691904,-0.026315232678517847
BeGreat,-0.035681845051605536,-0.019757762515691904,-0.026315232678517847
HappySunday,-0.03708185251847292,-0.021577515252641843,-0.028817541884095788
size,-0.03708185251847292,-0.021577515252641843,-0.028817541884095788
overweight,-0.03708185251847292,-0.021577515252641843,-0.028817541884095788
obese,-0.03534002667000798,-0.019319952420598023,-0.025713118038287616
FatNotHealthy,-0.03708185251847292,-0.021577515252641843,-0.028817541884095788
SizeMatters,-0.03708185251847292,-0.021577515252641843,-0.028817541884095788
plussize,-0.032301295166866216,-0.015190300477111361,-0.02006410201345512
biggestgiveaway,-0.03708185251847292,-0.021577515252641843,-0.028817541884095788
