Number of Hashtags,Number of Posts
0,2607
5,145
2,422
7,84
6,97
4,240
3,424
1,672
8,46
28,24
26,22
23,31
29,34
19,17
22,30
25,24
12,16
20,41
24,19
15,34
18,37
16,65
17,57
14,44
21,21
13,20
11,19
10,32
9,60
27,15
30,65
