hashtags,x,y
fitnessinstructor,-0.0351072172090919,-0.014545923509756715
strength,-0.0321200571014419,-0.014983310165472073
homepilatesworkouts,-0.03989260251773563,0.010994796728064585
corestrengthtraining,-0.03214203395971864,-0.015009796647286336
pilatesinstructortraining,-0.032044039330401695,-0.01490488572307112
homeworkouts.,-0.03441046340260588,-0.015109529913661978
attainablepilates,-0.032274992951450435,-0.01506378678360329
pilatesbarreondemand,-0.03464397496861566,-0.018379132554064065
pilatesbarreonline,-0.032044039330402965,-0.014904885723632522
arms,-0.033149305958913154,-0.01655701930652368
"core,",-0.033657727675164964,-0.015444828520202354
sixpackworkout,-0.033180514105463674,-0.014997668771871118
barrestrong,-0.033657727675164964,-0.015444828520202354
bridge,-0.032976820848556514,-0.016630046434520273
bbarreless,-0.03204403933040117,-0.014904885722863435
obliqueworkout,-0.05369767920074265,0.1252712755162119
spinalarticulation,-0.035307012000871336,-7.026767713111025e-05
bikinibody,-0.03530701200087142,-7.026767712527384e-05
core.,-0.058031016855089206,0.18519373446176596
fullbodyworkout,-0.05439227773369255,0.13672667895956808
fitballfriday,-0.05613640910759614,0.14849330888302484
armsworkout,-0.0527015757399979,0.12112321846781786
fitgal,-0.039647050710338264,0.01489007322700984
flexibility,-0.05613640910759614,0.14849330888302484
obliques,-0.04212670147470766,0.0626826187434423
pilatesball,-0.03760106330967907,0.005408223264407041
corestrengthening,-0.05369767920074265,0.1252712755162119
fitball,-0.03900647519568899,0.01537304607282836
fitballworkouts,-0.03900647519568899,0.01537304607282836
fitpilates,-0.05837589072763691,0.16879251302105994
backworkout,-0.05439227773369255,0.13672667895956808
pilatesballworkout,-0.0543445513168366,0.14023361360389847
plankworkout,-0.05439227773369255,0.13672667895956808
cardioworkout,-0.039534159909869325,-0.02431484685834877
circuittraining,-0.03228222436927951,-0.014771551097376791
pilatesplankchallenge21,-0.03900647519568899,0.01537304607282836
strengthtraining,-0.05837589072763691,0.16879251302105994
circuitworkout,-0.03968435701639196,0.016504587295771228
lowerbodystrength,-0.03272311786311021,-0.015635474908969344
hiitpilates,-0.05771237248080323,0.1662348398070147
cardiopilates,-0.053522411378769716,0.13373362036588649
circuitpilates,-0.0376819833686509,0.010046992362471027
totalbodycircuit,-0.03204403933040315,-0.014904885722505777
planks,-0.03204403933040266,-0.014904885723759692
barrearms,-0.05613640910759614,0.14849330888302484
armworkout,-0.039075346267340945,0.015030282821492436
legdayworkout,-0.037795678071784064,0.009236166927542951
ﬁtness,-0.043521032460434206,0.04704972221542078
motivationmonday,-0.05609177129085728,0.14578634565504528
progression,-0.03900647519568899,0.01537304607282836
toneitup,-0.03272311786311021,-0.015635474908969344
corework,-0.03272311786311021,-0.015635474908969344
fitmamalife,-0.03204403933040233,-0.014904885722770428
abdominais,-0.03556326414844376,0.0002735768393837877
barrenone,-0.05369767920074265,0.1252712755162119
dancefitness,-0.03204403933040287,-0.014904885722796322
fitmama,-0.03204403933040248,-0.014904885723003119
obliquesablaze,-0.03204403933040319,-0.014904885723117555
Traceymallett,-0.03248777214634151,-0.01537758603836313
obliquesworkout,-0.039534159909869235,-0.02431484685833467
mymonob,-0.03204403933040121,-0.014904885722971741
"legs,",-0.03204403933040191,-0.01490488572326175
toneybandthursday,-0.03238001842784461,-0.015261381203644864
toneyband,-0.03393278636950982,-0.005677607772242766
passthepilatesball,-0.03373399161180329,-0.014574617314290446
magiccirclemonday,-0.03347268749848653,-0.014943299509024368
pilateslover,-0.037488874843621976,0.016371088405032198
armsday,-0.035626708483543865,-0.0060347124381189676
pilatesinspo,-0.03244058397027715,-0.015322940709485039
legwork,-0.033044382698360505,-0.015891625445797936
bootybuilding,-0.0326296567659624,-0.015518348003702869
lowerbodycircuit,-0.03219129707577365,-0.0150588129221469
legworkouts,-0.03227481278693402,-0.015148724376673736
positivevibes,-0.035432258455653474,-0.010325271983974356
carbon38,-0.03487814651393893,-0.005020928965752558
happybirthdaytome,-0.03334958372891329,-0.01396154903311143
barrequeen,-0.03204403933040308,-0.014904885723253587
birthday,-0.04373068789711709,0.03159244557820231
hapoy,-0.03512325318699605,-0.008447954057649665
team38,-0.035626708483543865,-0.006034712438118961
singlelegstretch,-0.032138506849152246,-0.01500496446540097
lunges,-0.039630546797807545,0.022744650105239038
palmspringsstyle,-0.03220271178477952,-0.01507206115598122
squats,-0.03287538239615729,-0.014732637502977415
thighs,-0.037365477661395266,0.000898057242085797
palmsprings,-0.03403038761139652,-0.015443641855661213
bootygains🍑,-0.03247706820666644,-0.015283160617201573
compoundexercises,-0.03906439769508471,0.03188813800989384
barreup,-0.03487814651393893,-0.005020928965752558
toneybandsteampartner,-0.03381279686849016,0.0008280071371051954
pilatesbareeondemand,-0.035312565728469206,-0.02108401042502216
barrearoundtheworld,-0.034422649096724336,-0.015323734078984928
barresculpt,-0.03829490550325346,0.028871477877411754
legsday,-0.037488874843621976,0.016371088405032198
barreinstructortraining,-0.03204403933040342,-0.014904885722710504
contrology,-0.03238001842784461,-0.015261381203644864
josephpilates,-0.032044039330400745,-0.014904885723672504
hipextension,-0.035011062150884724,-0.015245313841736944
elasticbandsworkout,-0.03204403933040263,-0.014904885722914128
therabandworkout,-0.03373891545968429,-0.0022385690010497034
nationalpuppyday,-0.032096649537919734,-0.014924057689203123
elasticbands,-0.0324091093813571,-0.015250432207762513
therabandexercises,-0.03232298062817194,-0.015154591015523943
swimming,-0.03217052471856204,-0.014979391483565505
bandworkout,-0.03238001842762257,-0.015261381057083181
instadog,-0.032439474524009485,-0.014861009604050646
dogworkout,-0.03204403933040302,-0.014904885722896947
dogslife,-0.032403217402131264,-0.015201514758940415
teaser,-0.03233023252149423,-0.015124106874442511
3,-0.032044039330402625,-0.01490488572316857
1,-0.03247467523459028,-0.015299660191346601
plankchallenge,-0.0330808451520453,-0.01111796111030796
plank,-0.03236937913572467,-0.015250752121418187
glutesonfire,-0.03204403933040225,-0.014904885723011805
pilatestvabchallenge,-0.03238001842762257,-0.015261381057083181
plankvariation,-0.03334369706421413,-0.008683745850364221
corebody,-0.032044039330403215,-0.014904885723844196
sideobliques,-0.03221166408613821,-0.015054568062994867
planksfordays,-0.03291190677030614,-0.015862896442938035
smile😊,-0.033639947699906775,-0.015115107029997838
smile,-0.03390976735352107,-0.015099392057725411
bodygoals,-0.03204403933040291,-0.014904885723881649
fitnessjourney,-0.032044039330403666,-0.014904885723589683
positivequotes,-0.03807639409288886,-0.017408981746627663
motivationalquotes,-0.032310916083697794,-0.014681029542669595
positivethoughts,-0.03491702893022817,-0.01591591947392914
positivity,-0.03204403933040234,-0.014904885722527808
posituvevibes,-0.03305319508495886,-0.016018608912209405
adductors,-0.0333020648172857,-0.016292264956407877
adductorstrength,-0.038250139482637495,-0.02132657033979471
hipflexibility,-0.0339592299671677,-0.01700784763041325
innerthighgap,-0.03305319508495897,-0.016018608912201457
dog,-0.03204403933040403,-0.01490488572289894
pilatesinstructors,-0.03204403933040369,-0.014904885722886204
barrelife,-0.03782528188570248,-0.02155661086885426
innerthighworkouts,-0.035165569301783856,-0.016402767799498633
pilatesinspiration,-0.035165569301783856,-0.016402767799498633
hipmobility,-0.033734133635621104,-0.016080749833288464
totalbodyworkout,-0.05020324482396636,0.15791694925238958
totalbodycore,-0.05020324482396636,0.15791694925238958
fitmom,-0.049725577471774314,0.16278749035672918
hiittraining,-0.05020324482396636,0.15791694925238958
cardiohiit,-0.03606505429157223,0.019695582169743757
cardiohiitworkout,-0.05020324482396636,0.15791694925238958
absworkoutvideo,-0.05020324482396636,0.15791694925238958
balancedbody,-0.049010565937220314,0.14648559957622112
pilatesstudio,-0.036712671972723286,0.029932076406258327
reformerabs,-0.041449378044402505,0.08894934642484659
reformerflow,-0.04981911566462394,0.15300659147647466
pilatesanytimeus,-0.04852686086457143,0.1499165809637024
reformerstudio,-0.04912679376531488,0.1469098461093008
reformerpilatesinstructor,-0.04982414446856828,0.15304366043573056
balancedbodypilates,-0.03204403933040275,-0.014904885723607798
barreblitz,-0.0322959014537094,-0.015180960374726384
barrefusion,-0.03284878977051104,-0.01597249360641553
homeexercisevideos,-0.03272311786591889,-0.01563547805220916
fusionfitness,-0.0361574401998706,0.012664672666428376
dancebootybarre,-0.0361574401998706,0.012664672666428376
barreonline,-0.03272311786591889,-0.01563547805220916
️⃣,-0.03272311786591889,-0.01563547805220916
ballpilates,-0.07168913420046114,0.5354823821651226
smallwaistworkout,-0.07215651221813313,0.5050218857155571
openlegrocker,-0.06850431431522973,0.469012821998647
womensday2021,-0.07234808654613199,0.5836458797939935
womensinternationalday,-0.07154702328765411,0.524441815613412
internationalwomensday,-0.07433347241631263,0.5756154199528505
womensday,-0.06850431431522973,0.469012821998647
womensupportwomen,-0.06606315414874785,0.4562371018860557
empower,-0.07064446653217725,0.5602736261537782
womenentrepreneur,-0.061548197803149046,0.39114666486517685
dogs,-0.06573929118925437,0.43239049241503646
sideline,-0.07579752795886432,0.6386868056432357
instadogs,-0.07168913420046114,0.5354823821651226
plankvariations,-0.07343648329110032,0.605674884390636
toningworkout,-0.07064446653217725,0.5602736261537782
sculptedlegs,-0.05982447239051983,0.3944903595309019
fitnessgoals,-0.06458125791487504,0.41617567373468156
quadsworkout,-0.058380549856785195,0.3630439440580284
Fitfam,-0.07168913420046114,0.5354823821651226
gliderworkout,-0.07190908099412881,0.5833892155087218
lowerbodyworkouts,-0.05481544557232169,0.3274190220508767
sliderworkout,-0.0667819140385081,0.4376430045306917
gliders,-0.05982447239051983,0.3944903595309019
lowerbodyexercises,-0.07579752795886432,0.6386868056432357
theraband,-0.052592925135028605,0.28874296740161776
marchmadness,-0.06472827274288007,0.4061752406283754
fullbodyintegration,-0.06850431431522973,0.469012821998647
yogainspiration,-0.06573929118925437,0.43239049241503646
fitness,-0.06588774826792043,0.41103061654940426
pilatesmovesme,-0.06359930936449947,0.37360596870182794
fasciallines,-0.07062556493764414,0.4899608442199427
yoga,-0.07176143737792608,0.4956896973108951
fitover50,-0.06177004219441683,0.35006277064119634
summervibes,-0.07579752795886432,0.6386868056432357
handstands,-0.07493874273042789,0.5796151867936487
movewithme,-0.07266318027106568,0.5448023676990196
downstretch,-0.05016897777569742,0.20807050007913444
gluteworkout,-0.06939130990759558,0.5295311291050935
hipmobilitywork,-0.051363653226828065,0.22202886083715564
strengthandconditioning,-0.06401023383272923,0.4362915036839064
hipstretch,-0.055735526622531374,0.2772719217906409
extensions,-0.06625997807611092,0.45078326174866024
quadstretch,-0.07110218244397815,0.5279466777410676
kneestretch,-0.06433441483315724,0.41721593468658047
fitspo,-0.07360471725863142,0.5621673243295306
powerfulwomen,-0.07579752795886432,0.6386868056432357
bodypositive,-0.0677612267364149,0.5119658650720829
nomuscleleftbehind,-0.06704891029531371,0.46169402756572325
selfcare,-0.05378840053390971,0.30794598264407014
weekendtraining,-0.06903878489228941,0.5073239271180217
movewell,-0.06163107908139126,0.37181450584564485
movedaily,-0.06914377184147096,0.45915886580062903
fitmotivation,-0.06484469567628985,0.3926250933668717
loopband,-0.06433274503695675,0.4524584078184585
spinehealth,-0.05930545802792587,0.32659668531789743
healingwithpilates,-0.07208724481955922,0.5323994693518951
balanceforbetter,-0.05811053117699963,0.3267574646369641
thoracicmobility,-0.07234808654613199,0.5836458797939935
functionaltraining,-0.07325604925460519,0.5594104936784096
pilatestraining,-0.07360786872601643,0.6065768669442344
toneybands.,-0.05378840053390971,0.30794598264407014
communitysupport,-0.07579752795886432,0.6386868056432357
beactive,-0.062267791129960046,0.354300684368047
pilatesfitballmagic,-0.07071610875710914,0.5417029520982566
fitballfire,-0.058637288776203396,0.3322838212586897
vennballmatness,-0.07579752795886432,0.6386868056432357
thichapilates,-0.05055984868568131,0.23443419397213378
movewithintention,-0.06239509645245581,0.3956699794682517
venndesign,-0.050454513320655495,0.23951401574615902
pilatesismagic,-0.06660317384564483,0.45250483723236307
fitideas,-0.058295916203621644,0.3734751403285158
pilateseveryday,-0.07360471725863142,0.5621673243295306
vennball,-0.031274046605589474,0.6037582702137921
hip,-0.07493874273042789,0.5796151867936487
functionalfitpilates,-0.07176143737792608,0.4956896973108951
improveposture,-0.052853314144452726,0.23700328375757684
standingpilates,-0.06994817377205527,0.5135441630869096
rotatordisc,-0.05055984868568131,0.23443419397213378
twist,-0.06775692344401288,0.4775840590984738
