Account,User Name,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Views,URL,Link,Photo,Title,Description,Image Text,Sponsor Id,Sponsor Name,Overperforming Score (weighted  —  Likes 1x Comments 1x )
Amanda Lee,amandaeliselee,11564937,2018-04-01 19:53:31 EDT,2018-04-01,19:53:31,Photo,"643,155",632176,10979,0,https://www.instagram.com/p/BhDAZ_7DL47/,https://www.instagram.com/p/BhDAZ_7DL47/,https://scontent.xx.fbcdn.net/v/t51.2885-15/29714615_1803017529992576_6411723828841414656_n.jpg?_nc_cat=107&_nc_ohc=UvozL0BNAPkAX9WLOkp&_nc_ht=scontent.xx&oh=cac9f1eeeecb00093cd4e0c7ef2d12b9&oe=5E8564AE,,Happy Easter babes🐰🎀,,,,2.81
Amanda Lee,amandaeliselee,11548069,2018-03-27 18:17:44 EDT,2018-03-27,18:17:44,Video,"203,518",200813,2705,2464654,https://www.instagram.com/p/Bg19HcCDlkn/,https://www.instagram.com/p/Bg19HcCDlkn/,https://scontent.cdninstagram.com/vp/2b141f69cdbd06bb9c2d7b79d410c54f/5ABD32E2/t51.2885-15/s640x640/e15/29095478_1697926433627165_8222695423400214528_n.jpg,,"Just tried the new @bangenergy #cherrybladelemonade flavor and I’m obsessed 🍒🍋🙌🏻 It tastes super yummy and gives me that much needed extra energy boost to get through my workouts! Thank you to the owner of #bangenergy @vpxredlineceo -
Booty and core circuit: 1️⃣ elevated squat jump w squat pulse 12 reps 2️⃣ elevated military plank 30 secs 3️⃣ in/out elevated step squat 12 reps 4️⃣ elevated split squat w back leg kick 12 reps 5️⃣ elevated frog pulse 20 reps. Repeat 3xs , add weights for extra intensity 💪🏻✨",,,,3.06
Amanda Lee,amandaeliselee,11534005,2018-03-24 13:04:18 EDT,2018-03-24,13:04:18,Photo,"590,728",582434,8294,0,https://www.instagram.com/p/BgtrNt9DNR4/,https://www.instagram.com/p/BgtrNt9DNR4/,https://scontent.xx.fbcdn.net/v/t51.2885-15/29414654_1962319834081459_2772982296779685888_n.jpg?_nc_cat=107&_nc_ohc=SvDamBeADkcAX9yp-_x&_nc_ht=scontent.xx&oh=34e210313a0ce8e617c337cf6f95aadc&oe=5E759B6C,,when the sun finally comes out ☀️,,,,2.58
Amanda Lee,amandaeliselee,11478443,2018-03-12 20:14:58 EDT,2018-03-12,20:14:58,Album,"389,878",384799,5079,0,https://www.instagram.com/p/BgPi9hUjPwo/,https://www.instagram.com/p/BgPi9hUjPwo/,https://scontent.xx.fbcdn.net/v/t51.2885-15/28764812_1314138562021186_6599132459059642368_n.jpg?_nc_cat=108&_nc_ht=scontent.xx&oh=3fa88ef9a65f205f54f9472567c2cd6c&oe=5CB7C3E4,,Instagram vs real life 🥞🤷🏼‍♀️,,,,1.72
Amanda Lee,amandaeliselee,11447197,2018-03-06 15:33:07 EST,2018-03-06,15:33:07,Photo,"560,740",554126,6614,0,https://www.instagram.com/p/Bf_szbDDG8I/,https://www.instagram.com/p/Bf_szbDDG8I/,https://scontent.xx.fbcdn.net/v/t51.2885-15/28156449_1981298958754252_6666504668979396608_n.jpg?_nc_cat=100&_nc_ohc=kHUNWZMkkXUAX8ymJo5&_nc_ht=scontent.xx&oh=621f7405db09eaf16046755452ca2183&oe=5E8594F3,,Don’t act like I never told you,,,,2.45
Amanda Lee,amandaeliselee,11421196,2018-03-01 14:55:22 EST,2018-03-01,14:55:22,Video,"122,238",120607,1631,1149878,https://www.instagram.com/p/BfywUHHjXJZ/,https://www.instagram.com/p/BfywUHHjXJZ/,https://scontent.cdninstagram.com/vp/1d13890851b875046e22be1f2796d9ed/5A9B2F92/t51.2885-15/s640x640/e15/28432606_956486694509282_4617427277305610240_n.jpg,,"I’m loving the new #Purplehaze flavor from @bangenergy 💜✨ It’s my favorite way to fuel my workouts! Thank you to the inventor of @bangenergy @vpxredlineceo 🙏🏻😆
-
Cable legs 💪🏻💪🏻 Squat hold with rows 15 reps, cable squat walk 20 reps, cable single leg dead lift 15 reps. Repeat 3xs",,,,1.84
Amanda Lee,amandaeliselee,11394271,2018-02-23 17:06:50 EST,2018-02-23,17:06:50,Photo,"644,590",634935,9655,0,https://www.instagram.com/p/BfjiyOnDZ79/,https://www.instagram.com/p/BfjiyOnDZ79/,https://scontent.xx.fbcdn.net/v/t51.2885-15/28157854_1686978627992136_7283493346868199424_n.jpg?_nc_cat=107&_nc_ohc=3Jz-6c07nToAX8LB4x4&_nc_ht=scontent.xx&oh=d057ff46c18276515c8d8a65b9681ef0&oe=5E8A9BA2,,"because you can workout consistently, eat healthy and still have a little bit of cellulite on your thighs 🤷🏼‍♀️💕",,,,2.82
Amanda Lee,amandaeliselee,11388387,2018-02-21 16:06:25 EST,2018-02-21,16:06:25,Photo,"350,783",347126,3657,0,https://www.instagram.com/p/BfeSR6NDqNT/,https://www.instagram.com/p/BfeSR6NDqNT/,https://scontent.xx.fbcdn.net/v/t51.2885-15/28152523_181254082488509_1501708076363808768_n.jpg?_nc_cat=107&_nc_ohc=t8anQP4Q5NMAX9_bAG0&_nc_ht=scontent.xx&oh=38b4b72787dca7283e8feddd022cdd13&oe=5E85C574,,"I recently used a highlighter for the first time, and the @iconic.london Illuminator is amazing! I’m loving this bronzed and glowy look ✨",,,,1.53
Amanda Lee,amandaeliselee,11362565,2018-02-16 17:44:12 EST,2018-02-16,17:44:12,Photo,"574,944",566760,8184,0,https://www.instagram.com/p/BfRlfw-jE9M/,https://www.instagram.com/p/BfRlfw-jE9M/,https://scontent.xx.fbcdn.net/v/t51.2885-15/27581279_167331987381323_8056732372344766464_n.jpg?_nc_cat=103&_nc_ohc=9nY45cu4H8EAX8uDCQx&_nc_ht=scontent.xx&oh=657d8265696f6aa3a6d62db03188238a&oe=5E868ECA,,Kindness is the ultimate strength ✨ Bikini is @twentysauce,,,,2.51
Amanda Lee,amandaeliselee,11329742,2018-02-08 15:32:22 EST,2018-02-08,15:32:22,Photo,"370,688",366862,3826,0,https://www.instagram.com/p/Be8wDJBDkRy/,https://www.instagram.com/p/Be8wDJBDkRy/,https://scontent.xx.fbcdn.net/v/t51.2885-15/27576396_219741208594885_4119353827092594688_n.jpg?_nc_cat=104&_nc_ohc=KloW-jm8opwAX-zDpkD&_nc_ht=scontent.xx&oh=143d5d869a962b27f1d19c29732a2cb3&oe=5E7794C4,,Set from @fashionnova 🖤,,,,1.62
Amanda Lee,amandaeliselee,11325202,2018-02-06 16:39:22 EST,2018-02-06,16:39:22,Photo,"590,654",583072,7582,0,https://www.instagram.com/p/Be3uIIJDGMo/,https://www.instagram.com/p/Be3uIIJDGMo/,https://scontent.xx.fbcdn.net/v/t51.2885-15/27578419_165966127522428_3883703991061708800_n.jpg?_nc_cat=105&_nc_ohc=E3gECOsxtcAAX8kMj2D&_nc_ht=scontent.xx&oh=e90861c080534b8b855f45e563fe0a50&oe=5E73E729,,👅,,,,2.58
Amanda Lee,amandaeliselee,11311688,2018-02-03 14:24:39 EST,2018-02-03,14:24:39,Photo,"452,841",447559,5282,0,https://www.instagram.com/p/BevwUzkDynp/,https://www.instagram.com/p/BevwUzkDynp/,https://scontent.xx.fbcdn.net/v/t51.2885-15/27578572_1948865562099798_696714966098509824_n.jpg?_nc_cat=105&_nc_ohc=mM3rsXYwUrQAX9QDUs3&_nc_ht=scontent.xx&oh=45709bdc5a1bad48aa822217b7c70717&oe=5E75DABB,,💋,,,,1.98
Amanda Lee,amandaeliselee,11244365,2018-01-16 19:05:09 EST,2018-01-16,19:05:09,Photo,"576,145",567061,9084,0,https://www.instagram.com/p/BeB6HhyDlxR/,https://www.instagram.com/p/BeB6HhyDlxR/,https://scontent.xx.fbcdn.net/v/t51.2885-15/26286818_688510298204278_6102588077333544960_n.jpg?_nc_cat=102&_nc_ohc=qTbMA9HwYlsAX8xmdjO&_nc_ht=scontent.xx&oh=d86895c1d903a493e3c7fd7d6a74a21e&oe=5E8C40A9,,"I don’t usually post transformation pics but I wanted to share my journey for those who might need a little extra motivation today 💚 The left pic is me in 2014. I weighed 110 and did mostly “boot camp” style workouts with little or no weights. The right pic is me now, weighing 122. I changed my body by switching to heavier weights, increasing the intensity of my workouts and eating a better diet packed with healthy protein. 🏋🏼‍♀️ My body type is naturally thin, with not a lot of muscle tone🙈. I always wanted a healthier, stronger physique, and achieving that has helped immensely with my self confidence. Like everyone else, I struggle to stay motivated. There are days where I feel frustrated and want to give up. 😤 But I look at my results and that motivates me to keep going! I take pride in knowing that I built this on my own and anyone who thinks otherwise... I just take it as a compliment 🙄😘",,,,2.52
Amanda Lee,amandaeliselee,11216887,2018-01-11 14:10:19 EST,2018-01-11,14:10:19,Video,"123,505",121820,1685,1537463,https://www.instagram.com/p/Bd0f3Efj-Kz/,https://www.instagram.com/p/Bd0f3Efj-Kz/,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/26153162_184025442332900_1641859056870096896_n.jpg,,"Always fueling my workouts with the best @bangenergy flavors 💕 Today I’m drinking yummy #cottoncandy. I love them because they give me an energy boost but are also packed with BCAAs for faster muscle recovery 🙌🏻 Thank you to the owner of @bangenergy @VPXRedlineCEO
- 
Cardio booty and core burn with step💪🏻Side to side courtesy lunge 20 reps per leg, Squat burpees 10 reps, side step double squat 12reps, squat w side leg raise 15 reps per leg, V crunch w weight bar 20 reps, squat w shoulder press 15 reps. Repeat 3 xs",,,,1.86
Amanda Lee,amandaeliselee,11199747,2018-01-09 13:29:25 EST,2018-01-09,13:29:25,Photo,"441,504",437161,4343,0,https://www.instagram.com/p/BdvSIYFDUbx/,https://www.instagram.com/p/BdvSIYFDUbx/,https://scontent.xx.fbcdn.net/v/t51.2885-15/26066956_1069536509855135_5288321754719059968_n.jpg?_nc_cat=102&_nc_ohc=QibYiH0UKDgAX_i-7oy&_nc_ht=scontent.xx&oh=4dc2a6c11546e5a19fd3136f5712756f&oe=5E8B1FDA,,Living my best life 🍹,,,,1.93
